image,labels,n_objects,contains_top,split
O7_KaTgCV2PohQHYk_gdwQ,"['other-sign', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--keep-left--g1', 'other-sign']",5,['regulatory--no-entry--g1'],train
O8_vXtkrVg3Y_ysXhpFYcQ,"['regulatory--yield--g1', 'regulatory--yield--g1', 'warning--roundabout--g1', 'warning--roundabout--g1', 'other-sign', 'regulatory--turn-right--g1', 'other-sign']",7,['regulatory--yield--g1'],train
O8m9IbqRmEEScME1V74Rhw,"['regulatory--yield--g1', 'regulatory--keep-right--g4', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",12,['regulatory--yield--g1'],train
O9GNqad6n1o7fRIsC6_xJQ,"['other-sign', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--one-way-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,['regulatory--no-entry--g1'],train
O9Sr-AQvlKgHnVqUivVwwg,"['other-sign', 'regulatory--maximum-speed-limit-60--g1', 'regulatory--yield--g1']",3,['regulatory--yield--g1'],val
O9_Xh6d3vNFXVcgcGJbO0g,"['complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--maximum-speed-limit-20--g1', 'warning--traffic-merges-right--g1', 'other-sign', 'complementary--obstacle-delineator--g2', 'other-sign']",7,['complementary--chevron-right--g1'],train
ODMkjKqqt61WNE7PYNnTnQ,"['information--pedestrians-crossing--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'information--camp--g1']",5,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",train
ODrkNRnYuF36vLMJmumHxQ,"['complementary--chevron-left--g1', 'complementary--chevron-right--g1']",2,"['complementary--chevron-left--g1', 'complementary--chevron-right--g1']",val
OENb8BfFyAocFzHHM4Mehg,"['regulatory--no-entry--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",4,['regulatory--no-entry--g1'],train
OEP6GvPBz0lAOH9D-8NYgw,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",3,['information--pedestrians-crossing--g1'],train
OEavFetbwL17nkwlaqbQOA,"['other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--priority-road--g4', 'regulatory--priority-road--g4', 'other-sign', 'other-sign']",12,"['complementary--chevron-left--g1', 'regulatory--no-entry--g1']",train
OEocR8aa8tjwidKmJqDQeg,"['other-sign', 'regulatory--no-overtaking--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'regulatory--stop--g1', 'regulatory--stop--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,['regulatory--yield--g1'],train
OGIkizB83G-x2NJfxw-2KA,"['regulatory--yield--g1', 'regulatory--no-overtaking--g5']",2,['regulatory--yield--g1'],val
OGuDAYWKnaGXnKS1kp5jsw,"['complementary--chevron-right--g1', 'complementary--one-direction-right--g1', 'other-sign']",3,['complementary--chevron-right--g1'],test
OH4X7FY4GdOcUx-9hB71gQ,"['other-sign', 'regulatory--yield--g1']",2,['regulatory--yield--g1'],val
OHF69xS5TFCy0BNvKG1Ofw,"['regulatory--yield--g1', 'warning--roadworks--g1', 'regulatory--end-of-speed-limit-zone--g1', 'other-sign', 'other-sign']",5,['regulatory--yield--g1'],train
OHMHsW4aw0J_BNnsQ5rTWw,"['information--pedestrians-crossing--g1', 'other-sign', 'warning--junction-with-a-side-road-perpendicular-right--g1', 'information--pedestrians-crossing--g1', 'complementary--distance--g2', 'other-sign', 'other-sign']",7,['information--pedestrians-crossing--g1'],train
OIOP_v7NlQukCLWN3I2MFQ,"['regulatory--no-stopping--g15', 'regulatory--pedestrians-only--g1', 'regulatory--pedestrians-only--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,['regulatory--no-entry--g1'],train
OJw4B1di-TCl6vWI_NnwDQ,"['regulatory--maximum-speed-limit-40--g1', 'regulatory--maximum-speed-limit-50--g1', 'information--limited-access-road--g1', 'regulatory--no-stopping--g15', 'other-sign', 'information--pedestrians-crossing--g1', 'information--limited-access-road--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",14,['information--pedestrians-crossing--g1'],train
OKUQNIy3LkBrZXdtY0Z16Q,"['information--pedestrians-crossing--g1', 'information--parking--g1', 'regulatory--no-parking--g1', 'regulatory--no-parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,['information--pedestrians-crossing--g1'],val
OKvaZmIM5fbPADivCALy3g,"['regulatory--no-parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--parking--g1', 'regulatory--shared-path-pedestrians-and-bicycles--g1', 'other-sign', 'other-sign']",17,['information--pedestrians-crossing--g1'],train
OKw3_HdkvwnI1Hm9FKzHWw,"['other-sign', 'other-sign', 'regulatory--keep-right--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",12,['information--pedestrians-crossing--g1'],test
OM8Rxplwh0T6ulvoWZ-sPg,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign']",4,['regulatory--yield--g1'],train
OMLTev30GVB-tmYK2cbUeg,"['regulatory--yield--g1', 'regulatory--end-of-no-parking--g1', 'regulatory--roundabout--g1', 'regulatory--keep-right--g1', 'other-sign', 'regulatory--end-of-speed-limit-zone--g1']",6,['regulatory--yield--g1'],val
OMe_rJ3NHOsvmYD2SDQ_Ng,"['regulatory--stop--g1', 'regulatory--stop--g1', 'regulatory--no-right-turn--g2', 'regulatory--no-entry--g1', 'regulatory--no-right-turn--g2', 'other-sign', 'other-sign', 'other-sign', 'regulatory--text-four-lines--g1']",9,['regulatory--no-entry--g1'],train
OO-HVxauWWd1tm9VsuA9cA,"['regulatory--one-way-straight--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'regulatory--no-entry--g1', 'information--road-bump--g1', 'other-sign', 'other-sign']",19,['regulatory--no-entry--g1'],test
OOX8un9h3QY-Y9c6yJl3UA,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign']",5,['complementary--chevron-left--g1'],val
OPUtfb4ekGPWW4uPY-0qSA,"['warning--junction-with-a-side-road-acute-right--g1', 'regulatory--no-parking--g5', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",9,['complementary--chevron-left--g1'],train
OQUhyRnbKkzRwsY-FnlEZw,"['other-sign', 'information--pedestrians-crossing--g1']",2,['information--pedestrians-crossing--g1'],train
OSG7joS9-XiSlpWXNEXLUg,"['regulatory--priority-road--g4', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",7,['information--pedestrians-crossing--g1'],test
OT1_CKnZbSihjqZAho6C3g,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'regulatory--yield--g1', 'warning--traffic-merges-right--g1', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'regulatory--no-overtaking--g5', 'other-sign', 'other-sign', 'other-sign']",11,"['complementary--chevron-left--g1', 'regulatory--yield--g1']",train
OT23DdlS5LR3uw7J16-c2g,"['other-sign', 'regulatory--no-entry--g1', 'regulatory--no-right-turn--g1', 'regulatory--end-of-no-parking--g1', 'other-sign']",5,['regulatory--no-entry--g1'],train
OTRIfcZmAwn-i2oVe-HQMg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign']",11,['regulatory--no-entry--g1'],train
OU7AhJdVNdox5uat0Alw2w,"['warning--domestic-animals--g1', 'information--pedestrians-crossing--g1', 'other-sign']",3,['information--pedestrians-crossing--g1'],test
OUVWxaZGSHk84sQbVSp7kg,"['regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'regulatory--yield--g1', 'regulatory--no-bicycles--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-5--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",15,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",test
OUmYtZGqmTQIpkyB3AxO8Q,"['other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'regulatory--no-stopping--g15', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign']",9,['regulatory--yield--g1'],train
OUtPzAVP_NTXaPXCFLehFQ,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",6,"['complementary--chevron-left--g1', 'regulatory--no-entry--g1']",train
OVMPPJqdoPdky7sUB2MR4w,"['other-sign', 'other-sign', 'regulatory--yield--g1', 'regulatory--keep-right--g4', 'other-sign', 'other-sign', 'other-sign']",7,['regulatory--yield--g1'],test
OVktvxMv4sypKZSKLF97Lg,"['regulatory--maximum-speed-limit-50--g1', 'other-sign', 'other-sign', 'regulatory--keep-right--g1', 'other-sign', 'regulatory--no-entry--g1']",6,['regulatory--no-entry--g1'],train
OVufUHvt4e2Grrilu4GjJA,"['other-sign', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--no-u-turn--g1', 'other-sign', 'regulatory--no-stopping--g15', 'regulatory--no-u-turn--g1', 'regulatory--priority-road--g4', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,['regulatory--no-entry--g1'],train
OXeoNbV2XdokHjb0ba9V8Q,"['regulatory--priority-road--g4', 'regulatory--go-straight-or-turn-right--g1', 'other-sign', 'regulatory--go-straight-or-turn-right--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",10,['information--pedestrians-crossing--g1'],test
OZ3VxvgJtt2ACEdGZ-z7zQ,"['other-sign', 'regulatory--no-heavy-goods-vehicles--g1', 'complementary--turn-left--g2', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,['information--pedestrians-crossing--g1'],train
OZQOUNcoZi4HmbMRHfFqKQ,"['regulatory--roundabout--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign']",4,['regulatory--yield--g1'],val
OZT_sDRy0hohUFOW31Z1ZA,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",3,['information--pedestrians-crossing--g1'],train
Ob44_ftQV99cR9hmI2hF4w,"['regulatory--keep-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'warning--roadworks--g1', 'other-sign', 'other-sign', 'other-sign']",15,['regulatory--yield--g1'],train
OcMRkaapOQSs-bp33jrtoQ,"['regulatory--maximum-speed-limit-40--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign']",5,['regulatory--yield--g1'],val
Ocz5PnXbfDuWORaikXAM4w,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--maximum-speed-limit-45--g3', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--go-right--g1', 'other-sign', 'complementary--go-right--g1', 'other-sign', 'other-sign', 'other-sign']",15,['regulatory--yield--g1'],train
Od_t1wfH7ogCZ9e8ohU4Bg,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",4,['complementary--chevron-left--g1'],train
OeX5QJzz5Y3-90w6WwNbZg,"['regulatory--no-entry--g1', 'warning--railroad-crossing-with-barriers--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,['regulatory--no-entry--g1'],test
OetERIw6l6RCGD2YbBhLGg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--roadworks--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",14,['information--pedestrians-crossing--g1'],val
OfQM2wRvQm1sKJ3gJHRiwg,"['other-sign', 'regulatory--no-entry--g1', 'regulatory--one-way-right--g3']",3,['regulatory--no-entry--g1'],train
OgDRVNetmOziqTsWsSYZYg,"['other-sign', 'regulatory--stop--g1', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'regulatory--turn-right-ahead--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign']",13,['information--pedestrians-crossing--g1'],test
Ogp-gOEILG2spePdw7PZ3g,"['other-sign', 'regulatory--yield--g1', 'regulatory--go-straight--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,['regulatory--yield--g1'],val
Oi4Y55D293aWaisNy5t3yg,"['warning--kangaloo-crossing--g1', 'complementary--maximum-speed-limit-30--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'warning--texts--g3', 'other-sign', 'warning--curve-left--g2', 'complementary--maximum-speed-limit-40--g1']",8,['complementary--chevron-left--g1'],train
OihcIArkirxEZ19KOQkHwg,"['regulatory--end-of-maximum-speed-limit-30--g2', 'regulatory--turn-right--g1', 'regulatory--yield--g1', 'other-sign']",4,['regulatory--yield--g1'],test
Ok8bdt8ZvwqJELgDxLwWuw,"['regulatory--no-heavy-goods-vehicles--g1', 'other-sign', 'complementary--go-right--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign']",6,['regulatory--yield--g1'],val
OkRRfg9QCYWekdZgcH2new,"['regulatory--no-entry--g1', 'regulatory--one-way-left--g3', 'warning--railroad-intersection--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,['regulatory--no-entry--g1'],train
OkaIZGVtA7flzPwjaydPUw,['regulatory--yield--g1'],1,['regulatory--yield--g1'],test
OmUDqwBZWLLLofbPc09Fag,"['other-sign', 'regulatory--no-entry--g1', 'warning--other-danger--g1', 'other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--turn-right--g1', 'complementary--tow-away-zone--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g3', 'other-sign', 'information--parking--g1', 'information--parking--g1', 'other-sign', 'other-sign', 'information--disabled-persons--g1', 'regulatory--no-entry--g1', 'other-sign', 'complementary--chevron-left--g3', 'complementary--chevron-left--g3', 'complementary--chevron-right--g3', 'complementary--chevron-left--g3', 'complementary--chevron-right--g3', 'complementary--chevron-right-unsure--g6', 'other-sign', 'other-sign', 'complementary--chevron-left--g3', 'complementary--chevron-left--g3', 'complementary--chevron-left--g2', 'information--parking--g5', 'other-sign', 'complementary--chevron-left--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",42,['regulatory--no-entry--g1'],test
OnxECEfmfVRBaXcanVxNgw,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",3,['complementary--chevron-left--g1'],train
OoCtxdOGPZdIDrnwQD5rfg,"['warning--roundabout--g25', 'regulatory--yield--g1', 'regulatory--one-way-right--g3', 'complementary--chevron-right--g3', 'other-sign', 'other-sign', 'other-sign']",7,['regulatory--yield--g1'],train
OoTcxF_Io7B7XOBT7qdtRA,"['regulatory--yield--g1', 'other-sign']",2,['regulatory--yield--g1'],test
OpBrw7pDxJVdDqbkQwwWSg,"['regulatory--maximum-speed-limit-30--g1', 'warning--roadworks--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",15,['regulatory--no-entry--g1'],test
Opy864GCdjSt1oKhrYigUg,"['information--parking--g2', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",4,['information--pedestrians-crossing--g1'],train
OpzAZz79FOWOXJSCsb_WHA,"['regulatory--yield--g1', 'complementary--turn-right--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign']",9,['regulatory--yield--g1'],val
Oq1nVxxTTinUsORLqpS84A,"['regulatory--yield--g1', 'regulatory--go-straight-or-turn-left--g1', 'other-sign', 'other-sign', 'regulatory--no-stopping--g15', 'other-sign']",6,['regulatory--yield--g1'],train
OqQgofzi7UhDoxiBjnLz3A,"['other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign']",4,['regulatory--yield--g1'],val
Os-2WubW37QWce8I819PGQ,"['regulatory--yield--g1', 'regulatory--no-entry--g1', 'regulatory--one-way-right--g3', 'regulatory--roundabout--g2', 'other-sign', 'other-sign', 'complementary--go-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",val
OsKOLSfxCHfAT3qgCWHY7Q,"['warning--pedestrians-crossing--g4', 'regulatory--stop--g1', 'regulatory--yield--g1', 'regulatory--yield--g1', 'warning--pedestrians-crossing--g4', 'other-sign', 'complementary--obstacle-delineator--g2', 'complementary--obstacle-delineator--g2', 'other-sign', 'other-sign', 'complementary--chevron-left--g1']",11,"['complementary--chevron-left--g1', 'regulatory--yield--g1']",val
OvGI0wez5AXdVdxwc9EEAA,"['regulatory--keep-right--g4', 'warning--texts--g2', 'other-sign', 'other-sign', 'warning--road-narrows-right--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1']",11,['regulatory--no-entry--g1'],test
OwAfcFyo8gYh_giwD_yrZA,"['other-sign', 'other-sign', 'other-sign', 'information--bus-stop--g1', 'information--bus-stop--g1', 'information--bus-stop--g1', 'information--bus-stop--g1', 'other-sign', 'regulatory--yield--g1', 'complementary--priority-route-at-intersection--g1', 'regulatory--priority-road--g4', 'other-sign', 'regulatory--turn-right-ahead--g1', 'other-sign', 'information--parking--g1', 'other-sign', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'complementary--priority-route-at-intersection--g1', 'other-sign', 'regulatory--go-straight--g1', 'regulatory--turn-left-ahead--g1', 'other-sign']",24,['regulatory--yield--g1'],test
OwzJX8QadQs4xVQ3w_YwHA,"['regulatory--yield--g1', 'regulatory--mopeds-and-bicycles-only--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-parking--g1', 'other-sign']",9,['regulatory--yield--g1'],test
OxGI81OgbDwnk0dN4GAy3A,"['regulatory--yield--g1', 'other-sign', 'complementary--chevron-left--g5', 'other-sign', 'other-sign', 'complementary--chevron-left--g5', 'complementary--chevron-left--g5']",7,['regulatory--yield--g1'],train
Oxu-E1naL29RTUW4wKlfOg,"['regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--parking--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1']",10,['regulatory--no-entry--g1'],train
OyjZ0fZ5wNG3Lc09UTLMsA,"['regulatory--no-entry--g1', 'other-sign', 'regulatory--turn-right-ahead--g1', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g2', 'regulatory--shared-path-pedestrians-and-bicycles--g1', 'other-sign', 'regulatory--no-parking--g1']",9,['regulatory--no-entry--g1'],val
Oz1AJz_cPoKTKtQ3RX3hVw,"['warning--double-turn-first-right--g1', 'complementary--maximum-speed-limit-35--g1', 'complementary--chevron-right--g1', 'other-sign']",4,['complementary--chevron-right--g1'],train
P-zoLJ0XwkaayptyEr9gYg,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--triple-lanes-turn-left-center-lane--g1', 'regulatory--triple-lanes-turn-left-center-lane--g1']",4,['regulatory--yield--g1'],test
P00gdQoS_G--1PO-WtZ1Mw,"['other-sign', 'regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'other-sign', 'other-sign', 'other-sign']",9,['information--pedestrians-crossing--g1'],train
P0NfoAoAtZOcqSijCMYmag,"['warning--steep-ascent--g7', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'other-sign']",5,['complementary--chevron-right--g1'],val
P38lFwqH4N2uZ60PFGuMOg,"['other-sign', 'other-sign', 'regulatory--priority-road--g4', 'information--pedestrians-crossing--g1', 'other-sign', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign']",9,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",train
P3Ub1xg9JADRGXPuJ7jNTA,"['regulatory--weight-limit--g1', 'regulatory--pass-on-either-side--g1', 'other-sign', 'regulatory--no-entry--g1']",4,['regulatory--no-entry--g1'],val
P3v4bTqwLRx1aItzzTqKrA,"['complementary--maximum-speed-limit-20--g1', 'warning--curve-left--g2', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'warning--texts--g3']",6,['complementary--chevron-left--g1'],train
P7kl6gxCElMOTOmTWcZr7Q,"['regulatory--maximum-speed-limit-30--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,['information--pedestrians-crossing--g1'],train
P8T-LDLI1LowsOXYLUcsPw,"['other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",4,['complementary--chevron-left--g1'],train
P9Jq4y2fuqnmzuMtSCGbXA,"['regulatory--keep-right--g1', 'regulatory--yield--g1', 'regulatory--turn-right--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign']",6,['regulatory--yield--g1'],train
P9s_IhTxrNETAj-p_7RJsQ,"['warning--road-widens-right--g1', 'other-sign', 'complementary--chevron-right-unsure--g6', 'other-sign', 'complementary--chevron-right-unsure--g6', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'complementary--distance--g3']",9,['complementary--chevron-right--g1'],train
P9tOXdwgvb5sidstaGfa8w,"['warning--roundabout--g25', 'complementary--distance--g3', 'complementary--chevron-right--g1', 'other-sign', 'complementary--chevron-right--g1']",5,['complementary--chevron-right--g1'],val
PBlDO8vNrXHj1Ie57NFZfw,"['regulatory--keep-right--g1', 'regulatory--no-pedestrians-or-bicycles--g1', 'regulatory--yield--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--shared-path-pedestrians-and-bicycles--g1']",11,['regulatory--yield--g1'],test
PBvZTBJMjrmuExWAqlzvZQ,"['regulatory--yield--g1', 'other-sign', 'regulatory--go-straight--g1', 'other-sign', 'other-sign']",5,['regulatory--yield--g1'],train
PDqWPuPSTTm0A6c4aAHJjA,"['regulatory--yield--g1', 'complementary--chevron-left--g1', 'information--bike-route--g1', 'complementary--one-direction-left--g1', 'complementary--chevron-left--g1', 'warning--turn-left--g1', 'warning--bicycles-crossing--g2', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'other-sign', 'other-sign']",14,"['complementary--chevron-left--g1', 'regulatory--yield--g1']",train
PEOvcFtzumVxlZBBtB__bQ,"['regulatory--keep-right--g1', 'regulatory--yield--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",15,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",train
PEjytzIp7WUGMPdIJLBKzQ,"['warning--narrow-bridge--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",6,['complementary--chevron-left--g1'],train
PFM3ARCu3x9nOTtG00lvww,"['regulatory--maximum-speed-limit-50--g1', 'regulatory--maximum-speed-limit-50--g1', 'regulatory--maximum-speed-limit-30--g1', 'other-sign', 'regulatory--maximum-speed-limit-30--g1', 'warning--roundabout--g1', 'regulatory--yield--g1', 'regulatory--no-entry--g1', 'regulatory--yield--g1', 'other-sign', 'warning--roundabout--g1', 'complementary--chevron-left--g3', 'other-sign', 'other-sign']",14,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",train
PFOVRqos9Sw-ZtY4cwrzpA,"['other-sign', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-right-turn--g1', 'regulatory--one-way-right--g3', 'regulatory--stop-here-on-red-or-flashing-light--g2', 'regulatory--no-turns--g1']",7,['regulatory--no-entry--g1'],train
PGCW_uABEQ5cywhvM6ZS7Q,"['warning--road-bump--g2', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1']",4,['complementary--chevron-left--g1'],train
PGT_0gM91MJfCgIfB2_e8w,"['regulatory--yield--g1', 'warning--children--g1', 'information--parking--g1', 'warning--children--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,['regulatory--yield--g1'],val
PHvhPGd2b4rJt9KlU0hvSg,"['other-sign', 'regulatory--maximum-speed-limit-40--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",7,['information--pedestrians-crossing--g1'],val
PI0oSNAgFHN9Bgyuf4rdfg,"['information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'regulatory--yield--g1', 'warning--curve-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",train
PJNTu5hfdHlf1ERCnXop_A,['regulatory--no-entry--g1'],1,['regulatory--no-entry--g1'],test
PKZWVRlTO81v8PhjEbhnWQ,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--pedestrians-only--g1', 'other-sign', 'other-sign']",5,['information--pedestrians-crossing--g1'],train
PLMNZM25wa9UhrFXtuGkaA,['regulatory--no-entry--g1'],1,['regulatory--no-entry--g1'],val
PLv_A9fGHCogfK51TQVzVA,"['complementary--chevron-left--g1', 'warning--bicycles-crossing--g2', 'complementary--chevron-left--g1', 'warning--turn-right--g1', 'complementary--chevron-left--g1', 'other-sign']",6,['complementary--chevron-left--g1'],val
POgblyf8XAN_Za07mK6pWw,"['warning--traffic-signals--g3', 'regulatory--one-way-right--g2', 'regulatory--no-entry--g1', 'warning--traffic-signals--g3', 'other-sign', 'other-sign', 'other-sign']",7,['regulatory--no-entry--g1'],train
