image,labels,n_objects,split,contains_top
Ocz5PnXbfDuWORaikXAM4w,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--maximum-speed-limit-45--g3', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--go-right--g1', 'other-sign', 'complementary--go-right--g1', 'other-sign', 'other-sign', 'other-sign']",15,train,"['other-sign', 'regulatory--yield--g1']"
Od_t1wfH7ogCZ9e8ohU4Bg,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",4,test,"['other-sign', 'complementary--chevron-left--g1']"
OfQM2wRvQm1sKJ3gJHRiwg,"['other-sign', 'regulatory--no-entry--g1', 'regulatory--one-way-right--g3']",3,train,"['other-sign', 'regulatory--no-entry--g1']"
Oii1baJsy6nsy5t_LcOAsw,"['warning--pedestrians-crossing--g10', 'other-sign', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-40--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,train,['other-sign']
OkRRfg9QCYWekdZgcH2new,"['regulatory--no-entry--g1', 'regulatory--one-way-left--g3', 'warning--railroad-intersection--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,train,"['other-sign', 'regulatory--no-entry--g1']"
OkaIZGVtA7flzPwjaydPUw,['regulatory--yield--g1'],1,test,['regulatory--yield--g1']
OqQgofzi7UhDoxiBjnLz3A,"['other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign']",4,train,"['other-sign', 'regulatory--yield--g1']"
OsKOLSfxCHfAT3qgCWHY7Q,"['warning--pedestrians-crossing--g4', 'regulatory--stop--g1', 'regulatory--yield--g1', 'regulatory--yield--g1', 'warning--pedestrians-crossing--g4', 'other-sign', 'complementary--obstacle-delineator--g2', 'complementary--obstacle-delineator--g2', 'other-sign', 'other-sign', 'complementary--chevron-left--g1']",11,train,"['other-sign', 'regulatory--yield--g1', 'complementary--chevron-left--g1']"
OuOIAqgJP-Aj3oK27n7xMA,"['other-sign', 'other-sign']",2,train,['other-sign']
OwAfcFyo8gYh_giwD_yrZA,"['other-sign', 'other-sign', 'other-sign', 'information--bus-stop--g1', 'information--bus-stop--g1', 'information--bus-stop--g1', 'information--bus-stop--g1', 'other-sign', 'regulatory--yield--g1', 'complementary--priority-route-at-intersection--g1', 'regulatory--priority-road--g4', 'other-sign', 'regulatory--turn-right-ahead--g1', 'other-sign', 'information--parking--g1', 'other-sign', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'complementary--priority-route-at-intersection--g1', 'other-sign', 'regulatory--go-straight--g1', 'regulatory--turn-left-ahead--g1', 'other-sign']",24,test,"['other-sign', 'regulatory--yield--g1']"
OyjZ0fZ5wNG3Lc09UTLMsA,"['regulatory--no-entry--g1', 'other-sign', 'regulatory--turn-right-ahead--g1', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g2', 'regulatory--shared-path-pedestrians-and-bicycles--g1', 'other-sign', 'regulatory--no-parking--g1']",9,train,"['other-sign', 'regulatory--no-entry--g1']"
P00gdQoS_G--1PO-WtZ1Mw,"['other-sign', 'regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'other-sign', 'other-sign', 'other-sign']",9,train,"['other-sign', 'information--pedestrians-crossing--g1']"
P3Ub1xg9JADRGXPuJ7jNTA,"['regulatory--weight-limit--g1', 'regulatory--pass-on-either-side--g1', 'other-sign', 'regulatory--no-entry--g1']",4,train,"['other-sign', 'regulatory--no-entry--g1']"
P8T-LDLI1LowsOXYLUcsPw,"['other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",4,train,"['other-sign', 'complementary--chevron-left--g1']"
P90ipSP65eU27uVhPwq52Q,"['warning--railroad-intersection--g3', 'other-sign', 'other-sign', 'other-sign']",4,train,['other-sign']
PDqWPuPSTTm0A6c4aAHJjA,"['regulatory--yield--g1', 'complementary--chevron-left--g1', 'information--bike-route--g1', 'complementary--one-direction-left--g1', 'complementary--chevron-left--g1', 'warning--turn-left--g1', 'warning--bicycles-crossing--g2', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'other-sign', 'other-sign']",14,val,"['other-sign', 'regulatory--yield--g1', 'complementary--chevron-left--g1']"
PGCW_uABEQ5cywhvM6ZS7Q,"['warning--road-bump--g2', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1']",4,val,"['other-sign', 'complementary--chevron-left--g1']"
PGT_0gM91MJfCgIfB2_e8w,"['regulatory--yield--g1', 'warning--children--g1', 'information--parking--g1', 'warning--children--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,train,"['other-sign', 'regulatory--yield--g1']"
PHvhPGd2b4rJt9KlU0hvSg,"['other-sign', 'regulatory--maximum-speed-limit-40--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",7,test,"['other-sign', 'information--pedestrians-crossing--g1']"
PJNTu5hfdHlf1ERCnXop_A,['regulatory--no-entry--g1'],1,train,['regulatory--no-entry--g1']
PKZWVRlTO81v8PhjEbhnWQ,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--pedestrians-only--g1', 'other-sign', 'other-sign']",5,train,"['other-sign', 'information--pedestrians-crossing--g1']"
PLv_A9fGHCogfK51TQVzVA,"['complementary--chevron-left--g1', 'warning--bicycles-crossing--g2', 'complementary--chevron-left--g1', 'warning--turn-right--g1', 'complementary--chevron-left--g1', 'other-sign']",6,train,"['other-sign', 'complementary--chevron-left--g1']"
POgblyf8XAN_Za07mK6pWw,"['warning--traffic-signals--g3', 'regulatory--one-way-right--g2', 'regulatory--no-entry--g1', 'warning--traffic-signals--g3', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'regulatory--no-entry--g1']"
PPmjxvHFYNn0cBU5KDg-rA,"['regulatory--no-left-turn--g1', 'other-sign', 'other-sign', 'regulatory--one-way-right--g2', 'warning--texts--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--do-not-block-intersection--g1', 'other-sign', 'regulatory--no-left-turn--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",16,train,"['other-sign', 'regulatory--no-entry--g1']"
PTW92vD51NQeIkAkeBpRGQ,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'warning--hairpin-curve-left--g1']",3,train,['complementary--chevron-left--g1']
PVB1mEeVEU0n3lmKL-xu0g,"['information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'information--emergency-facility--g2']",6,test,"['other-sign', 'information--pedestrians-crossing--g1']"
PXFOk08ISsF0vFVo6TyMWA,"['regulatory--keep-right--g1', 'regulatory--shared-path-pedestrians-and-bicycles--g1', 'regulatory--maximum-speed-limit-50--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g2', 'warning--children--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",21,train,"['other-sign', 'information--pedestrians-crossing--g1']"
PXPPbNdhTepXkJ2Th7l4qA,"['complementary--chevron-left--g1', 'other-sign', 'regulatory--no-parking--g1']",3,train,"['other-sign', 'complementary--chevron-left--g1']"
P_w5IJSkLxEwF91e4HkB3Q,"['other-sign', 'other-sign', 'regulatory--one-way-right--g1', 'regulatory--no-entry--g1', 'regulatory--no-left-turn--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,train,"['other-sign', 'regulatory--no-entry--g1']"
Pb_cnmEE6BYn4sn7iPgfcQ,"['warning--curve-right--g2', 'warning--junction-with-a-side-road-perpendicular-right--g3', 'other-sign', 'warning--junction-with-a-side-road-acute-right--g1', 'warning--road-bump--g2']",5,train,['other-sign']
PbiMXbv-eq3OwqRBg8ZocA,"['information--lodging--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1']",4,val,"['other-sign', 'regulatory--no-entry--g1']"
Pd6GAfxqZQ-tPNdltEPXPQ,"['other-sign', 'regulatory--priority-road--g4', 'regulatory--no-heavy-goods-vehicles--g1', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'complementary--extent-of-prohibition-area-both-direction--g1']",6,val,"['other-sign', 'information--pedestrians-crossing--g1']"
PkhILmt5vFts4yQBPsY0Ew,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",7,test,['complementary--chevron-left--g1']
PmM5jsQOBc6fSCG4QOYvPA,"['other-sign', 'regulatory--priority-road--g4', 'other-sign', 'information--parking--g5', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",9,train,"['other-sign', 'information--pedestrians-crossing--g1']"
PrV5zJQoKNKqtOwzG2_i0g,"['regulatory--maximum-speed-limit-40--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'regulatory--roundabout--g1', 'regulatory--turn-right--g1', 'warning--roundabout--g1', 'other-sign', 'complementary--chevron-left--g1']",17,train,"['other-sign', 'regulatory--yield--g1', 'complementary--chevron-left--g1']"
PspGkQKsjKFOs_SYkYilfg,"['other-sign', 'warning--texts--g2']",2,train,['other-sign']
PtAdkdCdLEN8YdrM44DVJQ,"['warning--school-zone--g2', 'other-sign', 'other-sign', 'other-sign']",4,train,['other-sign']
Pv7f-Zrxav5aJzjSLiE9-A,"['complementary--chevron-right--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'warning--slippery-road-surface--g2', 'regulatory--priority-road--g4', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",18,val,"['other-sign', 'regulatory--no-entry--g1', 'complementary--chevron-left--g1']"
PvmUA-7ovb-dQrKhJrK1RQ,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1']",10,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
PxoM-6VJLGfZr5PTk7M7-Q,"['regulatory--maximum-speed-limit-50--g1', 'regulatory--maximum-speed-limit-90--g1', 'regulatory--maximum-speed-limit-80--g1', 'regulatory--maximum-speed-limit-60--g1', 'regulatory--maximum-speed-limit-70--g1', 'other-sign', 'regulatory--no-entry--g1']",7,test,"['other-sign', 'regulatory--no-entry--g1']"
Q3vGpm9MVc2w6LQa2CAaUQ,"['other-sign', 'other-sign', 'other-sign']",3,train,['other-sign']
Q5UI6Ca8PKyWMcumnNWzCQ,"['warning--slippery-road-surface--g1', 'warning--slippery-road-surface--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,train,"['other-sign', 'regulatory--yield--g1']"
Q7sc2aDT6RdreAk117Ivyw,['other-sign'],1,train,['other-sign']
Q8GO5XB041eO2BtgwFfjrw,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-stopping--g5', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",12,train,"['other-sign', 'regulatory--yield--g1']"
QEJXmkh4ce7zj6d27OuI8g,"['other-sign', 'regulatory--no-parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--extent-of-prohibition-area-both-direction--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1', 'warning--junction-with-a-side-road-perpendicular-right--g1', 'regulatory--no-parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1']",18,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
QMKgyvzVuHPf_a-9tOJG5A,"['regulatory--weight-limit--g1', 'other-sign', 'regulatory--keep-right--g1', 'other-sign', 'regulatory--maximum-speed-limit-70--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--roadworks--g1']",16,train,"['other-sign', 'information--pedestrians-crossing--g1']"
QOkmDYa5p_paQGOUA9CAJg,"['other-sign', 'other-sign']",2,test,['other-sign']
QSNdIw_1u2dMFl40o43uSw,"['warning--t-roads--g2', 'regulatory--yield--g1']",2,train,['regulatory--yield--g1']
QSzl6mPYkK83TTGTw6VpBQ,"['other-sign', 'regulatory--no-entry--g1', 'other-sign']",3,train,"['other-sign', 'regulatory--no-entry--g1']"
QVqF8vj-iwoa-SJrIQCkPg,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1']",2,test,['complementary--chevron-left--g1']
QYDyUAbOW8f2ZZI3OPETmA,"['other-sign', 'regulatory--priority-road--g4', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--keep-right--g1', 'regulatory--no-pedestrians--g2', 'other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'other-sign']",12,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
QZIqJzI6yWhZXbB_yk9x5w,"['regulatory--no-entry--g1', 'regulatory--turn-right--g1']",2,val,['regulatory--no-entry--g1']
QZXk5gWUtw6ne-MmYqI2jQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1', 'other-sign']",11,train,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
Q_gRc3WeJzMd7MEuUgD-wQ,"['regulatory--maximum-speed-limit-30--g1', 'regulatory--keep-right--g1', 'regulatory--bicycles-only--g1', 'regulatory--no-parking--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g2', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-50--g1', 'other-sign', 'other-sign', 'other-sign']",13,val,"['other-sign', 'information--pedestrians-crossing--g1']"
QaRfxPiK9enIxoTA13j1kA,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'warning--winding-road-first-left--g1']",3,val,['complementary--chevron-left--g1']
Qe_RrhjB-Oz3-GZMrrNR3g,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1']",5,train,"['other-sign', 'information--pedestrians-crossing--g1']"
Qf7anzePKLhD__f7KkTlbQ,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",5,train,['complementary--chevron-left--g1']
QfmO7GHf9KjvSaRD9Jzjwg,"['regulatory--yield--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'complementary--go-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'regulatory--yield--g1']"
Ql7TYeAYXcDwyDLwCon77Q,"['regulatory--maximum-speed-limit-45--g3', 'warning--pedestrians-crossing--g4', 'regulatory--bicycles-only--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,train,['other-sign']
QmO9JdKswCfMLK0L6nCZ4A,"['regulatory--yield--g1', 'other-sign', 'other-sign']",3,train,"['other-sign', 'regulatory--yield--g1']"
QzZSGnnN0co4K7bsMWJHvA,"['other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--obstacle-delineator--g1', 'regulatory--pass-on-either-side--g1', 'regulatory--maximum-speed-limit-50--g1']",10,train,"['other-sign', 'complementary--chevron-left--g1']"
QzmP4fRFBZGomFq9_Qhong,"['other-sign', 'other-sign', 'regulatory--keep-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign']",9,train,"['other-sign', 'complementary--chevron-left--g1']"
R3cJVDLtz8x6adVQ1xkkGg,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--yield--g1', 'regulatory--no-entry--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1']",8,val,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
R68WDHrmwjy6jI4kl0izFA,"['regulatory--no-stopping--g15', 'regulatory--no-entry--g1', 'other-sign']",3,train,"['other-sign', 'regulatory--no-entry--g1']"
R7DEAoELyG82P0D6akubOw,"['regulatory--no-overtaking--g2', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1']",6,val,"['other-sign', 'complementary--chevron-left--g1']"
R7Qote-s4dc5UA-D3ovh0w,"['other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'information--parking--g1', 'other-sign', 'regulatory--no-left-turn--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,test,"['other-sign', 'regulatory--yield--g1']"
R8Dxa7jWXLmIdwjsE-oyaA,"['information--pedestrians-crossing--g1', 'information--tram-bus-stop--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,train,"['other-sign', 'information--pedestrians-crossing--g1']"
RCA9_R1JYyuPi8xPY5ajgQ,"['regulatory--yield--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'regulatory--yield--g1']"
RCFuXlpoXarnNytzdBNS5w,"['warning--trucks-crossing--g1', 'regulatory--yield--g1', 'complementary--distance--g3']",3,train,['regulatory--yield--g1']
REU-wj7M1LkMsk6Iu-lpTg,"['regulatory--bicycles-only--g1', 'warning--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1']",3,train,['information--pedestrians-crossing--g1']
RJfEzpFsV-fo0xwr233UcA,"['warning--road-bump--g1', 'warning--crossroads-with-priority-to-the-right--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",6,train,"['other-sign', 'complementary--chevron-left--g1']"
RK30DBknB5pE--cVGvsvKQ,"['regulatory--priority-road--g4', 'information--pedestrians-crossing--g1', 'complementary--extent-of-prohibition-area-both-direction--g1', 'complementary--trucks--g1', 'other-sign']",5,train,"['other-sign', 'information--pedestrians-crossing--g1']"
RM748tc1W0NrssI9b76ltQ,"['other-sign', 'regulatory--no-heavy-goods-vehicles--g4', 'other-sign', 'regulatory--yield--g1', 'information--parking--g1', 'other-sign']",6,train,"['other-sign', 'regulatory--yield--g1']"
RPmull89MpfVr_d-Z4UCWw,"['warning--road-narrows--g1', 'information--pedestrians-crossing--g1']",2,train,['information--pedestrians-crossing--g1']
RQeB_5wy1jlfAe76JO9xTw,"['regulatory--no-heavy-goods-vehicles--g1', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-motorcycles--g2', 'complementary--go-right--g1', 'complementary--go-right--g1']",6,train,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
RSZ7yiWmPtuo4a9vCEeytw,"['regulatory--yield--g1', 'warning--curve-right--g2', 'regulatory--maximum-speed-limit-30--g1', 'other-sign']",4,val,"['other-sign', 'regulatory--yield--g1']"
RSowoGEBxia9uwJy9YMv6A,"['regulatory--keep-right--g1', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--bicycles-only--g1', 'other-sign']",5,train,"['other-sign', 'regulatory--no-entry--g1']"
RTBEfjMa9vFmgMk_2DC7Hg,"['regulatory--yield--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'complementary--except-bicycles--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",12,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
RTY9GKRPfUcyj1teXPD2uQ,"['regulatory--keep-right--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,val,"['other-sign', 'information--pedestrians-crossing--g1']"
RZQDPtbyFa9XYEcq8UshYw,"['regulatory--no-heavy-goods-vehicles--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'regulatory--no-left-turn--g1']",8,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
R_V_ysXl0Z9Zg7xnjFaUPQ,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-stopping--g15', 'regulatory--stop--g1', 'other-sign', 'other-sign', 'other-sign']",7,test,"['other-sign', 'information--pedestrians-crossing--g1']"
RbfVd-Gpq0SCr0qD0ckN_A,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign', 'other-sign']",6,train,"['other-sign', 'regulatory--yield--g1']"
Rc03zYdWik4tCWaLWES4sg,"['complementary--chevron-right-unsure--g6', 'regulatory--no-entry--g1', 'complementary--chevron-right-unsure--g6']",3,train,['regulatory--no-entry--g1']
Re3wucUK3pZezmkrYPvY8g,"['other-sign', 'regulatory--keep-right--g1', 'regulatory--no-entry--g1']",3,val,"['other-sign', 'regulatory--no-entry--g1']"
RfW-ZfaX5IouhQkv2koopw,"['warning--slippery-road-surface--g1', 'warning--two-way-traffic--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'warning--slippery-road-surface--g1', 'warning--trams-crossing--g1', 'other-sign']",7,train,"['other-sign', 'information--pedestrians-crossing--g1']"
RiFZeB33ycRXHu77d6gSsA,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,train,"['other-sign', 'regulatory--yield--g1']"
Rx8MT90sj_GeNM7aeOVj2A,"['warning--roundabout--g1', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",5,test,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
RxSSN0GkXw3XdoeTvRmEbw,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-parking--g1', 'regulatory--no-parking--g1', 'regulatory--no-u-turn--g1', 'regulatory--go-straight--g1', 'regulatory--no-entry--g1', 'other-sign']",19,val,"['other-sign', 'regulatory--no-entry--g1']"
RxXwO4lVc8N6rYUezv4VFQ,"['other-sign', 'regulatory--no-entry--g1', 'regulatory--bicycles-only--g1', 'other-sign', 'other-sign', 'other-sign']",6,train,"['other-sign', 'regulatory--no-entry--g1']"
RxkgUcxVCxv1yfN1Xt1rLw,"['regulatory--yield--g1', 'regulatory--roundabout--g1', 'regulatory--roundabout--g1']",3,train,['regulatory--yield--g1']
S-2nJ9LerrAPVknFlZ6MFw,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1']",9,train,"['other-sign', 'complementary--chevron-left--g1']"
S2tga6rUP2pMCcmzCzKoCw,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--stop--g1', 'other-sign', 'regulatory--keep-right--g2', 'other-sign', 'other-sign']",7,train,"['other-sign', 'regulatory--yield--g1']"
S4oN4bpdodB5VHlXLwbiyw,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1']",2,train,['complementary--chevron-left--g1']
S5MqHEmFJnS2s8M86AsSSg,"['other-sign', 'regulatory--maximum-speed-limit-50--g1', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'other-sign']",6,test,['other-sign']
S5ss8q_2FryARKaA913Qdg,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",5,train,"['other-sign', 'complementary--chevron-left--g1']"
S71JhkxOwa9enWKWtX1yuA,"['warning--children--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",5,test,['other-sign']
S80ugJqDeLcxaYBpUX4-dQ,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'regulatory--road-closed-to-vehicles--g3', 'warning--bicycles-crossing--g1', 'other-sign', 'other-sign', 'regulatory--mopeds-and-bicycles-only--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",12,val,"['other-sign', 'regulatory--yield--g1']"
S9sFvJx9zMKRRGTU_T5ZdQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",5,train,['other-sign']
SBidqdUXTx7HzaGWi2zddw,"['warning--double-curve-first-right--g2', 'complementary--maximum-speed-limit-50--g1', 'complementary--chevron-left--g1', 'complementary--chevron-right--g1', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1']",9,test,"['other-sign', 'complementary--chevron-left--g1']"
SIvffxKhpoR8mdIg55FRQQ,"['information--pedestrians-crossing--g1', 'regulatory--stop--g1', 'other-sign', 'other-sign']",4,train,"['other-sign', 'information--pedestrians-crossing--g1']"
SNNtOaZUhIGIR__iAxKVMg,"['regulatory--yield--g1', 'regulatory--turn-left-ahead--g1', 'information--pedestrians-crossing--g1']",3,val,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
SRCoyzazfAMiDCEVdS_lBg,"['regulatory--no-overtaking--g2', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",3,val,['complementary--chevron-left--g1']
STw8jbaiKJHgTt7clHYX7w,"['regulatory--maximum-speed-limit-30--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'complementary--maximum-speed-limit-20--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",20,train,"['other-sign', 'complementary--chevron-left--g1']"
SUMwsHHqLW0LzRIXsJyhUw,"['regulatory--go-straight-or-turn-right--g1', 'regulatory--turn-right--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'other-sign', 'regulatory--one-way-right--g1', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--no-parking--g1']",8,test,"['other-sign', 'regulatory--no-entry--g1']"
